16,15,13,27,21,25,14,18,2,8,7,19,3,24,28,4,10,5,12,0,6,1,29,31,17,20,23,26,30,9,11,22
26,7,13,20,23,12,18,15,1,30,11,2,6,28,27,9,8,16,29,21,19,17,4,22,10,5,31,14,25,3,24,0
26,28,24,31,6,29,20,27,16,30,9,17,21,11,2,22,0,1,23,8,25,13,14,19,15,5,4,12,3,10,18,7
19,11,1,14,9,8,10,16,29,5,3,22,17,30,31,6,15,25,4,27,2,24,12,0,20,23,28,26,18,7,13,21
1,3,4,18,27,17,28,20,15,21,26,0,12,2,23,16,10,7,11,25,6,8,19,13,22,9,31,29,24,14,30,5
17,28,4,10,18,31,5,9,12,30,20,2,29,8,7,25,1,22,24,16,3,19,26,13,0,27,14,21,11,6,15,23
3,31,2,14,20,7,8,11,10,18,9,29,6,12,23,1,30,27,17,24,21,25,16,22,13,5,28,15,19,0,26,4
28,1,11,3,13,29,15,7,27,18,19,20,14,2,8,12,4,17,25,0,9,30,23,10,5,22,31,24,16,26,6,21
22,21,28,2,14,16,12,9,5,25,24,3,18,17,23,26,11,4,7,13,31,8,6,29,30,1,0,10,15,20,19,27
26,31,4,22,18,24,2,12,30,1,16,0,25,9,19,27,15,8,7,21,10,14,13,23,20,29,11,6,3,28,17,5
