#     it    Ltra    Lval
     1   0.3586   0.4017
     2   0.3572   0.3965
     3   0.3408   0.3791
     4   0.3383   0.3571
     5   0.3361   0.3904
     6   0.3286   0.3710
     7   0.3228   0.3639
     8   0.3167   0.3713
     9   0.3163   0.3732
    10   0.3142   0.3760
    11   0.3095   0.3864
    12   0.3084   0.3964
    13   0.3070   0.3976
    14   0.3063   0.3972
    15   0.3050   0.3932
    16   0.3043   0.3876
    17   0.3036   0.3797
    18   0.3024   0.3857
    19   0.2998   0.3927
    20   0.2985   0.3909
    21   0.2972   0.3895
    22   0.2965   0.3867
    23   0.2956   0.3866
    24   0.2932   0.3883
    25   0.2907   0.3873
    26   0.2891   0.3870
    27   0.2864   0.3911
    28   0.2843   0.3878
    29   0.2814   0.3937
    30   0.2802   0.3872
    31   0.2780   0.3835
    32   0.2760   0.3811
    33   0.2745   0.3779
    34   0.2733   0.3745
    35   0.2706   0.3722
    36   0.2697   0.3736
    37   0.2684   0.3778
    38   0.2664   0.3742
    39   0.2644   0.3688
    40   0.2627   0.3656
    41   0.2607   0.3646
    42   0.2587   0.3654
    43   0.2576   0.3628
    44   0.2562   0.3629
    45   0.2544   0.3590
    46   0.2533   0.3553
    47   0.2526   0.3533
    48   0.2512   0.3506
    49   0.2506   0.3503
    50   0.2492   0.3468
    51   0.2473   0.3431
    52   0.2457   0.3378
    53   0.2435   0.3387
    54   0.2412   0.3358
    55   0.2403   0.3316
    56   0.2393   0.3319
    57   0.2384   0.3308
    58   0.2369   0.3285
    59   0.2350   0.3222
    60   0.2326   0.3156
    61   0.2301   0.3049
    62   0.2274   0.3054
    63   0.2256   0.3035
    64   0.2241   0.2982
    65   0.2235   0.3000
    66   0.2228   0.2992
    67   0.2216   0.2973
    68   0.2204   0.2965
    69   0.2201   0.2950
    70   0.2178   0.2922
    71   0.2165   0.2919
    72   0.2151   0.2884
    73   0.2144   0.2879
    74   0.2138   0.2874
    75   0.2131   0.2870
    76   0.2130   0.2895
    77   0.2123   0.2879
    78   0.2120   0.2879
    79   0.2117   0.2882
    80   0.2111   0.2884
    81   0.2103   0.2874
    82   0.2095   0.2885
    83   0.2086   0.2862
    84   0.2077   0.2839
    85   0.2066   0.2810
    86   0.2047   0.2757
    87   0.2028   0.2671
    88   0.2007   0.2612
    89   0.1989   0.2603
    90   0.1972   0.2574
    91   0.1960   0.2551
    92   0.1940   0.2510
    93   0.1925   0.2506
    94   0.1915   0.2433
    95   0.1888   0.2445
    96   0.1877   0.2422
    97   0.1856   0.2376
    98   0.1835   0.2282
    99   0.1818   0.2278
   100   0.1807   0.2274
   101   0.1797   0.2245
   102   0.1786   0.2228
   103   0.1763   0.2191
   104   0.1753   0.2164
   105   0.1742   0.2141
   106   0.1734   0.2136
   107   0.1713   0.2113
   108   0.1698   0.2095
   109   0.1680   0.2069
   110   0.1665   0.2041
   111   0.1655   0.2024
   112   0.1642   0.2010
   113   0.1631   0.1992
   114   0.1620   0.1985
   115   0.1610   0.1966
   116   0.1597   0.1938
   117   0.1592   0.1913
   118   0.1584   0.1893
   119   0.1578   0.1891
   120   0.1572   0.1883
   121   0.1565   0.1866
   122   0.1554   0.1841
   123   0.1547   0.1815
   124   0.1540   0.1813
   125   0.1536   0.1796
   126   0.1528   0.1790
   127   0.1525   0.1790
   128   0.1519   0.1786
   129   0.1512   0.1784
   130   0.1503   0.1798
   131   0.1496   0.1794
   132   0.1490   0.1781
   133   0.1485   0.1789
