0.000000000000000000e+00 -1.474325841268768200e-01
9.550679278688884999e-01 7.900816942393820153e-01
1.735303014029370150e-01 4.075180987869334026e-02
7.996247273849333981e-01 7.283068532062344502e-01
5.636394395586694639e-01 8.223217717307408359e-01
6.148009924104713697e-02 -5.378518772239653245e-01
8.486364601108508099e-01 1.174109035323630534e+00
7.612489960862778293e-02 -4.581802870659167914e-01
6.071043144672314540e-01 7.804196617680864145e-01
1.609984843697377377e-01 -4.517458279459223291e-01
4.760825632162679621e-01 6.610948783245143012e-01
8.021171420903985272e-01 6.279044274532392667e-01
2.984188679413171119e-01 2.946561988790009079e-01
8.507312789747779602e-01 1.171085110006400587e+00
2.679881344415230293e-01 2.913497247687463210e-02
1.557174121215594287e-01 6.741764916954401388e-01
2.987025867938902790e-01 5.033732167575927230e-01
9.805746047245085251e-01 9.763025541194700896e-01
9.105286013527893463e-01 5.018188282831373970e-01
7.890220628952071547e-02 -2.418745685224503450e-02
7.325729090801239574e-01 4.964928623655642248e-01
6.616890197189723155e-01 1.100209184914612059e+00
5.597952106003349915e-01 8.540745746624190948e-01
5.262917388240374583e-01 7.839163929754253135e-02
8.238239355863138380e-01 1.299463179907763832e+00
9.756021330777400191e-01 5.842754866877820641e-01
3.069167033979381953e-01 1.060556043827463463e-01
4.086818144354343874e-01 1.599267190605130062e-01
9.949638500986717204e-01 1.370206440401818160e+00
5.226296956635742008e-01 1.857101804014344437e-01
5.649915248504348009e-01 4.252742080699711269e-01
