#     it    Ltra    Lval
     1   0.3542   0.3839
     2   0.3523   0.3841
     3   0.3465   0.3802
     4   0.3414   0.3720
     5   0.3335   0.3618
     6   0.3299   0.3591
     7   0.3205   0.3508
     8   0.3054   0.3423
     9   0.3011   0.3417
    10   0.2965   0.3421
    11   0.2916   0.3454
    12   0.2873   0.3631
    13   0.2807   0.3508
    14   0.2716   0.3453
    15   0.2669   0.3413
    16   0.2601   0.3421
    17   0.2561   0.3465
    18   0.2511   0.3515
    19   0.2408   0.3544
    20   0.2363   0.3470
    21   0.2327   0.3400
    22   0.2275   0.3306
    23   0.2221   0.3153
    24   0.2182   0.3121
    25   0.2141   0.3030
    26   0.2111   0.2955
    27   0.2077   0.2912
    28   0.2037   0.2770
    29   0.1999   0.2784
    30   0.1951   0.2708
    31   0.1908   0.2548
    32   0.1870   0.2461
    33   0.1830   0.2340
    34   0.1783   0.2288
    35   0.1734   0.2211
    36   0.1693   0.2109
    37   0.1653   0.2057
    38   0.1636   0.1998
    39   0.1595   0.1952
    40   0.1530   0.1892
    41   0.1476   0.1790
    42   0.1442   0.1773
    43   0.1401   0.1724
    44   0.1370   0.1676
    45   0.1344   0.1644
    46   0.1308   0.1601
    47   0.1287   0.1576
    48   0.1259   0.1544
    49   0.1227   0.1491
    50   0.1198   0.1440
    51   0.1148   0.1358
    52   0.1135   0.1330
    53   0.1104   0.1311
    54   0.1072   0.1274
    55   0.1056   0.1251
    56   0.1044   0.1249
    57   0.1030   0.1245
    58   0.1012   0.1233
    59   0.0987   0.1205
    60   0.0959   0.1158
    61   0.0927   0.1111
    62   0.0902   0.1075
    63   0.0876   0.1062
    64   0.0863   0.1040
    65   0.0839   0.1038
    66   0.0830   0.1028
    67   0.0801   0.1007
    68   0.0775   0.0991
    69   0.0758   0.0942
    70   0.0748   0.0929
    71   0.0739   0.0902
    72   0.0728   0.0875
    73   0.0720   0.0846
    74   0.0712   0.0849
    75   0.0705   0.0841
    76   0.0701   0.0840
    77   0.0696   0.0834
    78   0.0691   0.0829
    79   0.0689   0.0819
    80   0.0688   0.0816
    81   0.0685   0.0807
    82   0.0683   0.0800
    83   0.0681   0.0796
    84   0.0676   0.0785
    85   0.0673   0.0781
    86   0.0670   0.0790
    87   0.0665   0.0780
    88   0.0663   0.0771
    89   0.0660   0.0763
    90   0.0654   0.0751
    91   0.0649   0.0744
    92   0.0641   0.0735
    93   0.0637   0.0733
    94   0.0636   0.0731
    95   0.0631   0.0734
    96   0.0625   0.0738
    97   0.0619   0.0757
    98   0.0616   0.0789
    99   0.0612   0.0778
   100   0.0610   0.0765
   101   0.0607   0.0750
   102   0.0604   0.0745
   103   0.0601   0.0730
   104   0.0598   0.0727
   105   0.0596   0.0723
   106   0.0593   0.0715
   107   0.0591   0.0687
   108   0.0587   0.0692
   109   0.0585   0.0694
   110   0.0584   0.0688
   111   0.0584   0.0694
   112   0.0582   0.0692
   113   0.0580   0.0685
   114   0.0579   0.0690
   115   0.0577   0.0684
   116   0.0574   0.0673
   117   0.0571   0.0668
   118   0.0568   0.0664
   119   0.0567   0.0673
   120   0.0563   0.0656
   121   0.0562   0.0647
   122   0.0561   0.0644
   123   0.0560   0.0632
   124   0.0559   0.0628
   125   0.0558   0.0626
   126   0.0557   0.0625
   127   0.0556   0.0633
   128   0.0555   0.0632
   129   0.0553   0.0629
   130   0.0553   0.0629
   131   0.0552   0.0620
   132   0.0551   0.0620
   133   0.0550   0.0619
   134   0.0549   0.0616
   135   0.0549   0.0614
   136   0.0548   0.0610
   137   0.0547   0.0604
   138   0.0546   0.0604
   139   0.0546   0.0603
   140   0.0545   0.0602
   141   0.0545   0.0602
   142   0.0544   0.0600
   143   0.0543   0.0599
   144   0.0543   0.0595
   145   0.0543   0.0597
   146   0.0543   0.0596
   147   0.0542   0.0594
   148   0.0541   0.0594
   149   0.0539   0.0589
   150   0.0538   0.0598
   151   0.0537   0.0597
   152   0.0535   0.0599
   153   0.0534   0.0597
   154   0.0534   0.0601
   155   0.0533   0.0598
   156   0.0533   0.0591
   157   0.0532   0.0595
   158   0.0532   0.0596
   159   0.0531   0.0596
   160   0.0530   0.0593
   161   0.0527   0.0589
   162   0.0525   0.0588
   163   0.0524   0.0591
   164   0.0523   0.0593
   165   0.0521   0.0590
   166   0.0520   0.0584
   167   0.0519   0.0577
   168   0.0519   0.0566
   169   0.0518   0.0566
   170   0.0517   0.0565
   171   0.0517   0.0560
   172   0.0516   0.0555
   173   0.0514   0.0545
   174   0.0513   0.0546
   175   0.0511   0.0558
   176   0.0510   0.0561
   177   0.0509   0.0568
   178   0.0508   0.0562
   179   0.0506   0.0553
   180   0.0505   0.0542
   181   0.0504   0.0542
   182   0.0503   0.0537
   183   0.0502   0.0536
   184   0.0501   0.0538
   185   0.0501   0.0539
   186   0.0499   0.0542
   187   0.0498   0.0544
   188   0.0497   0.0539
   189   0.0496   0.0536
   190   0.0496   0.0528
   191   0.0495   0.0519
   192   0.0492   0.0502
   193   0.0491   0.0512
   194   0.0490   0.0507
   195   0.0490   0.0508
   196   0.0489   0.0510
   197   0.0488   0.0516
   198   0.0487   0.0520
   199   0.0485   0.0521
   200   0.0484   0.0515
   201   0.0483   0.0505
   202   0.0483   0.0502
   203   0.0483   0.0505
   204   0.0482   0.0507
   205   0.0482   0.0507
   206   0.0482   0.0505
   207   0.0481   0.0503
   208   0.0481   0.0502
   209   0.0480   0.0504
   210   0.0480   0.0506
   211   0.0480   0.0509
   212   0.0479   0.0511
   213   0.0479   0.0518
   214   0.0478   0.0515
   215   0.0478   0.0510
   216   0.0478   0.0503
   217   0.0477   0.0504
   218   0.0477   0.0505
   219   0.0477   0.0508
   220   0.0476   0.0505
   221   0.0476   0.0504
   222   0.0475   0.0502
   223   0.0475   0.0500
   224   0.0474   0.0498
   225   0.0473   0.0497
   226   0.0473   0.0499
   227   0.0473   0.0500
   228   0.0473   0.0501
   229   0.0472   0.0502
   230   0.0472   0.0505
   231   0.0472   0.0509
   232   0.0471   0.0510
   233   0.0471   0.0510
   234   0.0470   0.0508
   235   0.0470   0.0506
   236   0.0469   0.0504
   237   0.0468   0.0504
   238   0.0468   0.0501
   239   0.0468   0.0502
   240   0.0467   0.0504
   241   0.0466   0.0502
   242   0.0466   0.0504
   243   0.0466   0.0502
   244   0.0465   0.0500
   245   0.0465   0.0498
   246   0.0465   0.0500
   247   0.0464   0.0501
   248   0.0464   0.0503
   249   0.0464   0.0504
   250   0.0464   0.0504
   251   0.0463   0.0498
   252   0.0463   0.0497
   253   0.0463   0.0496
   254   0.0463   0.0495
   255   0.0463   0.0493
   256   0.0463   0.0494
   257   0.0463   0.0495
   258   0.0463   0.0496
   259   0.0462   0.0498
   260   0.0462   0.0498
   261   0.0462   0.0499
   262   0.0462   0.0497
   263   0.0462   0.0495
   264   0.0462   0.0494
   265   0.0461   0.0491
   266   0.0461   0.0493
   267   0.0461   0.0495
   268   0.0461   0.0497
   269   0.0461   0.0496
   270   0.0461   0.0495
   271   0.0461   0.0493
   272   0.0461   0.0490
   273   0.0461   0.0488
   274   0.0461   0.0488
   275   0.0461   0.0488
   276   0.0460   0.0489
   277   0.0460   0.0491
   278   0.0460   0.0492
   279   0.0460   0.0496
   280   0.0460   0.0494
   281   0.0460   0.0492
   282   0.0460   0.0491
   283   0.0460   0.0488
   284   0.0460   0.0488
   285   0.0459   0.0489
   286   0.0459   0.0489
   287   0.0459   0.0489
   288   0.0459   0.0487
   289   0.0459   0.0487
   290   0.0458   0.0486
   291   0.0458   0.0487
   292   0.0458   0.0487
   293   0.0458   0.0487
   294   0.0458   0.0487
   295   0.0458   0.0487
   296   0.0458   0.0484
   297   0.0458   0.0485
   298   0.0458   0.0484
   299   0.0458   0.0484
   300   0.0457   0.0483
   301   0.0457   0.0482
   302   0.0457   0.0479
   303   0.0457   0.0481
   304   0.0457   0.0481
   305   0.0457   0.0482
   306   0.0457   0.0482
   307   0.0457   0.0483
   308   0.0457   0.0481
   309   0.0457   0.0482
   310   0.0457   0.0482
   311   0.0457   0.0482
   312   0.0456   0.0482
   313   0.0456   0.0481
   314   0.0456   0.0481
   315   0.0456   0.0478
   316   0.0456   0.0478
   317   0.0456   0.0477
   318   0.0456   0.0478
   319   0.0456   0.0477
   320   0.0456   0.0478
   321   0.0456   0.0478
   322   0.0456   0.0479
   323   0.0456   0.0479
   324   0.0456   0.0479
   325   0.0456   0.0478
   326   0.0455   0.0476
   327   0.0455   0.0475
   328   0.0455   0.0475
   329   0.0455   0.0474
   330   0.0455   0.0474
   331   0.0455   0.0476
   332   0.0455   0.0474
   333   0.0455   0.0476
   334   0.0455   0.0475
   335   0.0455   0.0474
   336   0.0455   0.0474
   337   0.0454   0.0476
   338   0.0454   0.0474
   339   0.0454   0.0478
   340   0.0454   0.0479
   341   0.0454   0.0479
   342   0.0454   0.0478
   343   0.0454   0.0478
   344   0.0454   0.0475
   345   0.0454   0.0474
   346   0.0454   0.0474
   347   0.0454   0.0470
   348   0.0453   0.0474
   349   0.0453   0.0476
   350   0.0453   0.0478
   351   0.0453   0.0476
   352   0.0453   0.0474
   353   0.0453   0.0471
   354   0.0453   0.0467
   355   0.0453   0.0468
   356   0.0453   0.0469
   357   0.0452   0.0471
   358   0.0452   0.0471
   359   0.0452   0.0471
   360   0.0452   0.0469
   361   0.0452   0.0467
   362   0.0451   0.0465
   363   0.0451   0.0462
   364   0.0451   0.0467
   365   0.0451   0.0467
   366   0.0451   0.0463
   367   0.0450   0.0465
   368   0.0450   0.0468
   369   0.0450   0.0472
   370   0.0449   0.0469
   371   0.0449   0.0468
   372   0.0449   0.0465
   373   0.0449   0.0463
   374   0.0449   0.0459
   375   0.0448   0.0460
   376   0.0448   0.0461
   377   0.0447   0.0461
   378   0.0447   0.0466
   379   0.0447   0.0462
   380   0.0446   0.0463
   381   0.0445   0.0465
   382   0.0445   0.0459
   383   0.0444   0.0459
   384   0.0444   0.0458
   385   0.0444   0.0457
   386   0.0443   0.0457
