#     it    Ltra    Lval
     1   0.3561   0.3762
     2   0.3555   0.3759
     3   0.3529   0.3751
     4   0.3361   0.3741
     5   0.3346   0.3736
     6   0.3286   0.3725
     7   0.3249   0.3736
     8   0.3189   0.3649
     9   0.3168   0.3635
    10   0.3116   0.3620
    11   0.3104   0.3619
    12   0.3056   0.3613
    13   0.3041   0.3639
    14   0.3015   0.3692
    15   0.2979   0.3676
    16   0.2938   0.3626
    17   0.2907   0.3579
    18   0.2865   0.3501
    19   0.2807   0.3411
    20   0.2728   0.3335
    21   0.2691   0.3317
    22   0.2646   0.3336
    23   0.2608   0.3201
    24   0.2549   0.3163
    25   0.2520   0.3150
    26   0.2475   0.3123
    27   0.2420   0.3015
    28   0.2365   0.2944
    29   0.2307   0.2934
    30   0.2255   0.2830
    31   0.2201   0.2731
    32   0.2153   0.2633
    33   0.2119   0.2620
    34   0.2059   0.2579
    35   0.2012   0.2545
    36   0.1999   0.2533
    37   0.1949   0.2423
    38   0.1928   0.2403
    39   0.1915   0.2384
    40   0.1896   0.2373
    41   0.1877   0.2332
    42   0.1864   0.2304
    43   0.1855   0.2291
    44   0.1841   0.2263
    45   0.1830   0.2230
    46   0.1808   0.2174
    47   0.1796   0.2128
    48   0.1781   0.2154
    49   0.1773   0.2134
    50   0.1766   0.2116
    51   0.1756   0.2099
    52   0.1753   0.2110
    53   0.1744   0.2108
    54   0.1736   0.2110
    55   0.1727   0.2121
    56   0.1714   0.2138
    57   0.1703   0.2152
    58   0.1693   0.2135
    59   0.1678   0.2101
    60   0.1664   0.2063
    61   0.1644   0.2007
    62   0.1627   0.1927
    63   0.1620   0.1916
    64   0.1615   0.1908
    65   0.1609   0.1884
    66   0.1604   0.1869
    67   0.1597   0.1833
    68   0.1591   0.1837
    69   0.1586   0.1849
    70   0.1580   0.1841
    71   0.1572   0.1836
    72   0.1566   0.1844
    73   0.1560   0.1842
    74   0.1550   0.1844
    75   0.1544   0.1851
    76   0.1535   0.1835
    77   0.1528   0.1831
    78   0.1519   0.1813
    79   0.1506   0.1794
    80   0.1493   0.1764
    81   0.1484   0.1754
    82   0.1478   0.1749
    83   0.1473   0.1742
    84   0.1467   0.1732
    85   0.1462   0.1721
    86   0.1452   0.1701
    87   0.1446   0.1692
    88   0.1436   0.1653
    89   0.1429   0.1651
    90   0.1422   0.1643
    91   0.1414   0.1618
    92   0.1403   0.1590
    93   0.1391   0.1571
    94   0.1381   0.1555
    95   0.1373   0.1545
    96   0.1370   0.1565
    97   0.1360   0.1538
    98   0.1354   0.1517
    99   0.1349   0.1515
   100   0.1345   0.1511
   101   0.1341   0.1505
   102   0.1336   0.1496
   103   0.1333   0.1492
   104   0.1327   0.1491
   105   0.1321   0.1487
   106   0.1315   0.1486
   107   0.1310   0.1483
   108   0.1307   0.1482
   109   0.1304   0.1481
   110   0.1301   0.1481
   111   0.1299   0.1477
   112   0.1297   0.1478
   113   0.1295   0.1479
   114   0.1293   0.1482
   115   0.1291   0.1484
   116   0.1289   0.1488
   117   0.1287   0.1493
   118   0.1285   0.1492
   119   0.1284   0.1493
   120   0.1282   0.1498
   121   0.1280   0.1498
   122   0.1279   0.1502
   123   0.1277   0.1503
   124   0.1277   0.1516
   125   0.1274   0.1508
   126   0.1273   0.1503
   127   0.1272   0.1505
   128   0.1271   0.1505
   129   0.1270   0.1507
   130   0.1269   0.1512
   131   0.1269   0.1515
   132   0.1268   0.1516
   133   0.1267   0.1514
   134   0.1267   0.1513
   135   0.1266   0.1509
   136   0.1265   0.1508
