#     it    Ltra    Lval
     1   0.1889   0.1845
     2   0.1848   0.1753
     3   0.1622   0.1616
     4   0.1563   0.1595
     5   0.1426   0.1447
     6   0.1185   0.1020
     7   0.1087   0.0945
     8   0.0915   0.0942
     9   0.0864   0.0977
    10   0.0847   0.1013
    11   0.0827   0.0982
    12   0.0746   0.0968
    13   0.0714   0.0933
    14   0.0677   0.0916
    15   0.0594   0.0910
    16   0.0565   0.0917
    17   0.0524   0.0937
    18   0.0486   0.0923
    19   0.0440   0.0831
    20   0.0416   0.0769
    21   0.0389   0.0676
    22   0.0348   0.0518
    23   0.0344   0.0446
    24   0.0337   0.0442
    25   0.0333   0.0446
    26   0.0328   0.0445
    27   0.0318   0.0467
    28   0.0316   0.0471
    29   0.0314   0.0475
    30   0.0313   0.0474
    31   0.0311   0.0459
    32   0.0308   0.0425
    33   0.0306   0.0400
    34   0.0304   0.0386
    35   0.0301   0.0372
    36   0.0297   0.0355
    37   0.0293   0.0330
    38   0.0288   0.0298
    39   0.0277   0.0257
    40   0.0261   0.0255
    41   0.0241   0.0249
    42   0.0232   0.0225
    43   0.0225   0.0210
    44   0.0209   0.0194
    45   0.0190   0.0171
    46   0.0185   0.0165
    47   0.0180   0.0173
    48   0.0173   0.0187
    49   0.0162   0.0197
    50   0.0157   0.0190
    51   0.0154   0.0210
    52   0.0154   0.0206
    53   0.0153   0.0211
    54   0.0152   0.0216
    55   0.0151   0.0220
    56   0.0148   0.0222
    57   0.0147   0.0217
    58   0.0146   0.0213
    59   0.0145   0.0210
    60   0.0145   0.0207
    61   0.0144   0.0202
    62   0.0143   0.0189
    63   0.0142   0.0191
    64   0.0141   0.0193
    65   0.0140   0.0194
    66   0.0139   0.0207
    67   0.0138   0.0194
    68   0.0138   0.0191
    69   0.0137   0.0191
    70   0.0136   0.0187
    71   0.0135   0.0177
    72   0.0135   0.0175
    73   0.0135   0.0173
    74   0.0135   0.0176
    75   0.0134   0.0167
    76   0.0134   0.0163
    77   0.0133   0.0154
    78   0.0132   0.0151
    79   0.0131   0.0150
    80   0.0128   0.0162
    81   0.0127   0.0160
    82   0.0127   0.0159
    83   0.0126   0.0156
    84   0.0126   0.0149
    85   0.0125   0.0146
    86   0.0124   0.0144
    87   0.0123   0.0144
    88   0.0121   0.0144
    89   0.0120   0.0145
    90   0.0120   0.0143
    91   0.0120   0.0142
    92   0.0119   0.0142
    93   0.0119   0.0139
    94   0.0118   0.0133
    95   0.0117   0.0119
    96   0.0113   0.0112
    97   0.0111   0.0104
    98   0.0111   0.0104
    99   0.0109   0.0106
   100   0.0108   0.0104
   101   0.0107   0.0105
   102   0.0106   0.0109
   103   0.0105   0.0114
   104   0.0104   0.0124
   105   0.0103   0.0119
   106   0.0102   0.0118
   107   0.0101   0.0122
   108   0.0100   0.0129
   109   0.0099   0.0131
   110   0.0099   0.0129
   111   0.0099   0.0127
   112   0.0099   0.0128
   113   0.0099   0.0130
   114   0.0099   0.0127
   115   0.0098   0.0130
   116   0.0098   0.0130
   117   0.0098   0.0129
   118   0.0098   0.0128
   119   0.0098   0.0126
   120   0.0098   0.0123
   121   0.0097   0.0121
   122   0.0096   0.0123
   123   0.0096   0.0120
   124   0.0096   0.0123
   125   0.0096   0.0126
   126   0.0096   0.0130
   127   0.0096   0.0130
   128   0.0095   0.0129
   129   0.0095   0.0130
   130   0.0095   0.0132
   131   0.0095   0.0132
   132   0.0095   0.0138
   133   0.0095   0.0131
   134   0.0095   0.0127
   135   0.0094   0.0127
   136   0.0094   0.0127
   137   0.0094   0.0121
   138   0.0094   0.0124
   139   0.0093   0.0128
   140   0.0093   0.0127
   141   0.0093   0.0128
   142   0.0093   0.0131
   143   0.0093   0.0132
   144   0.0093   0.0133
   145   0.0092   0.0138
   146   0.0092   0.0137
   147   0.0092   0.0133
   148   0.0091   0.0134
   149   0.0091   0.0136
   150   0.0091   0.0135
   151   0.0091   0.0134
   152   0.0091   0.0132
   153   0.0091   0.0132
   154   0.0091   0.0133
   155   0.0091   0.0130
   156   0.0091   0.0130
   157   0.0091   0.0130
   158   0.0091   0.0128
   159   0.0091   0.0127
   160   0.0090   0.0123
   161   0.0090   0.0124
   162   0.0090   0.0122
   163   0.0089   0.0123
   164   0.0089   0.0124
   165   0.0088   0.0128
   166   0.0087   0.0130
   167   0.0087   0.0135
   168   0.0086   0.0134
   169   0.0086   0.0134
   170   0.0086   0.0131
   171   0.0086   0.0128
   172   0.0086   0.0129
   173   0.0086   0.0129
   174   0.0086   0.0129
   175   0.0086   0.0129
   176   0.0086   0.0131
   177   0.0086   0.0131
   178   0.0086   0.0133
   179   0.0085   0.0133
   180   0.0085   0.0131
   181   0.0085   0.0130
   182   0.0084   0.0121
   183   0.0084   0.0125
   184   0.0084   0.0126
   185   0.0084   0.0126
   186   0.0084   0.0125
   187   0.0084   0.0126
   188   0.0084   0.0126
   189   0.0084   0.0126
   190   0.0083   0.0125
   191   0.0083   0.0125
   192   0.0083   0.0124
   193   0.0083   0.0124
   194   0.0083   0.0122
   195   0.0083   0.0123
   196   0.0083   0.0123
   197   0.0083   0.0122
   198   0.0083   0.0122
   199   0.0083   0.0124
   200   0.0083   0.0125
   201   0.0083   0.0127
   202   0.0083   0.0126
   203   0.0082   0.0126
   204   0.0082   0.0126
   205   0.0082   0.0126
   206   0.0082   0.0125
   207   0.0082   0.0126
   208   0.0082   0.0131
   209   0.0082   0.0133
   210   0.0082   0.0133
   211   0.0082   0.0131
   212   0.0082   0.0132
   213   0.0082   0.0130
   214   0.0081   0.0127
   215   0.0081   0.0126
   216   0.0081   0.0125
   217   0.0081   0.0123
   218   0.0081   0.0122
   219   0.0081   0.0121
   220   0.0081   0.0121
   221   0.0080   0.0122
   222   0.0080   0.0123
   223   0.0080   0.0126
   224   0.0080   0.0126
   225   0.0080   0.0124
   226   0.0080   0.0124
   227   0.0079   0.0123
   228   0.0079   0.0123
   229   0.0079   0.0127
   230   0.0079   0.0125
   231   0.0079   0.0124
   232   0.0079   0.0124
   233   0.0079   0.0123
   234   0.0079   0.0123
   235   0.0079   0.0123
   236   0.0079   0.0123
   237   0.0079   0.0122
   238   0.0079   0.0121
