0,6,18,26,11,28,15,2,12,20,27,19,16,17,29,1,23,14,4,30,8,24,13,22,31,9,25,7,5,10,21,3
31,30,8,23,6,1,29,3,21,16,2,5,15,13,11,25,0,27,7,18,12,20,10,17,19,24,4,22,9,14,26,28
6,3,22,24,23,14,28,26,7,0,31,17,1,9,30,11,18,4,10,25,12,15,2,21,29,8,16,5,20,27,13,19
25,30,2,19,22,29,3,8,24,9,0,13,10,6,31,15,1,28,12,23,7,17,21,18,4,16,5,11,26,20,14,27
23,12,6,21,4,7,11,3,13,28,29,26,9,18,22,10,15,2,16,31,20,30,0,1,8,14,19,24,5,17,25,27
27,24,4,31,7,8,17,25,20,2,14,30,12,13,10,6,29,19,5,22,16,0,11,9,15,26,1,18,21,3,23,28
20,9,11,30,14,8,2,1,26,13,7,12,4,18,19,25,31,27,23,3,15,16,0,5,17,10,28,21,6,24,22,29
0,23,14,16,9,22,10,1,24,15,13,7,26,28,8,6,4,5,20,12,19,2,11,25,27,3,29,17,30,18,21,31
18,4,14,0,25,10,15,12,31,21,1,16,23,19,30,5,27,3,29,8,9,22,17,6,11,13,28,26,20,7,24,2
2,19,15,17,21,16,9,20,1,10,29,3,7,6,18,0,26,25,30,28,4,13,27,8,11,12,22,31,24,23,5,14
