15,3,30,10,20,12,0,5,24,14,2,9,27,4,26,21,1,11,18,17,13,22,29,25,23,16,19,28,8,31,6,7
7,8,30,0,16,23,2,21,12,31,24,26,28,29,13,25,27,18,10,11,19,1,15,22,6,9,5,20,3,4,17,14
2,28,14,13,25,21,10,3,7,19,11,23,0,17,5,22,12,8,18,20,6,15,29,4,24,1,31,26,9,30,27,16
15,0,4,26,3,23,12,19,20,5,6,31,10,21,29,28,18,24,2,30,11,17,14,16,27,7,1,22,25,8,9,13
16,31,15,21,19,0,24,5,7,10,13,4,29,6,9,30,3,22,25,28,12,11,27,1,18,26,14,17,2,8,20,23
0,11,26,1,13,23,27,9,19,4,8,2,30,31,5,29,16,15,20,10,3,14,18,12,25,6,21,17,28,22,7,24
0,15,31,19,8,20,12,27,17,22,10,2,25,4,1,3,24,13,18,30,7,9,11,16,29,6,5,28,14,26,21,23
0,4,21,25,27,11,8,23,28,1,9,14,5,6,16,22,10,15,7,3,24,19,30,20,17,12,18,29,31,2,26,13
10,5,25,16,6,23,2,30,7,31,13,12,9,21,11,29,8,17,24,18,0,20,14,4,27,3,28,22,19,1,15,26
30,5,26,11,0,20,7,28,19,12,29,6,8,16,23,9,10,24,31,2,1,4,25,17,13,21,27,3,14,18,22,15
